url:https://www.restoclub.ru/spb/place/kaha	title:Каха бар	tag:type:Кафе	tag:subway:Достоевская, Владимирская	tag:check:800	tag:score:Кухня:7.7	tag:score:Интерьер:7.7	tag:score:Сервис:7.5	tag:votes:14
url:https://www.restoclub.ru/spb/place/retro-diskoteka-154	title:Клуб 154	tag:type:Клуб	tag:subway:Проспект Просвещения	tag:check:1000	tag:score:Кухня:7.1	tag:score:Интерьер:6.5	tag:score:Сервис:6.9	tag:votes:28
url:https://www.restoclub.ru/spb/place/bar-76	title:Bar 76	tag:type:Бар	tag:subway:Петроградская	tag:check:600	tag:score:Кухня:8.1	tag:score:Интерьер:7.8	tag:score:Сервис:6.8	tag:votes:6
url:https://www.restoclub.ru/spb/place/wood	title:Wood	tag:type:Кафе	tag:subway:Владимирская, Достоевская	tag:check:500	tag:score:Кухня:7.4	tag:score:Интерьер:8.3	tag:score:Сервис:8.1	tag:votes:6
url:https://www.restoclub.ru/spb/place/dead-poets	title:Dead Poets	tag:type:Бар	tag:subway:Маяковская, Площадь Восстания	tag:check:1000	tag:score:Кухня:6.9	tag:score:Интерьер:7.3	tag:score:Сервис:7.2	tag:votes:17
url:https://www.restoclub.ru/spb/place/dobryj-papa	title:Добрый папа	tag:type:Ресторан	tag:subway:Ленинский Проспект, Проспект Ветеранов	tag:check:900	tag:score:Кухня:7.0	tag:score:Интерьер:8.3	tag:score:Сервис:7.3	tag:votes:7
url:https://www.restoclub.ru/spb/place/pobeda	title:Победа	tag:type:Бар	tag:subway:Парк Победы	tag:check:1250	tag:score:Кухня:8.2	tag:score:Интерьер:8.2	tag:score:Сервис:7.0	tag:votes:11
url:https://www.restoclub.ru/spb/place/united-butchers-1	title:United Butchers	tag:type:Ресторан	tag:subway:Проспект Просвещения	tag:check:1100	tag:score:Кухня:7.2	tag:score:Интерьер:7.6	tag:score:Сервис:6.0	tag:votes:8
url:https://www.restoclub.ru/spb/place/bread-meat-3	title:Bread & Meat	tag:type:Кафе	tag:subway:Адмиралтейская, Невский Проспект, Гостиный Двор	tag:check:1000	tag:score:Кухня:8.8	tag:score:Интерьер:6.9	tag:score:Сервис:7.4	tag:votes:4
url:https://www.restoclub.ru/spb/place/dujety-1	title:Дуэты	tag:type:Клуб	tag:subway:Маяковская, Невский Проспект, Чернышевская	tag:check:1500	tag:score:Кухня:7.0	tag:score:Интерьер:6.2	tag:score:Сервис:7.0	tag:votes:15
url:https://www.restoclub.ru/spb/place/i-believe	title:I Believe	tag:type:Бар	tag:subway:Спортивная	tag:check:450	tag:score:Кухня:8.6	tag:score:Интерьер:7.6	tag:score:Сервис:7.0	tag:votes:10
url:https://www.restoclub.ru/spb/place/gatsby-bar	title:Gatsby Bar	tag:type:Бар	tag:subway:Озерки, Проспект Просвещения, Академическая, Политехническая	tag:check:1100	tag:score:Кухня:5.5	tag:score:Интерьер:7.0	tag:score:Сервис:4.6	tag:votes:13
url:https://www.restoclub.ru/spb/place/zazhigalka	title:Зажигалка	tag:type:Бар	tag:subway:Маяковская, Площадь Восстания	tag:check:700	tag:score:Кухня:6.2	tag:score:Интерьер:6.1	tag:score:Сервис:5.3	tag:votes:32
url:https://www.restoclub.ru/spb/place/gradus-farengejta	title:Градус Фаренгейта	tag:type:Бар	tag:subway:Парк Победы	tag:check:1000	tag:score:Кухня:5.6	tag:score:Интерьер:5.5	tag:score:Сервис:5.2	tag:votes:13
url:https://www.restoclub.ru/spb/place/hi-hat	title:Hi-Hat	tag:type:Бар	tag:subway:Петроградская	tag:check:900	tag:score:Кухня:4.5	tag:score:Интерьер:6.1	tag:score:Сервис:4.7	tag:votes:9
url:https://www.restoclub.ru/spb/place/poison	title:Poison	tag:type:Бар	tag:subway:Маяковская	tag:check:500	tag:score:Кухня:4.7	tag:score:Интерьер:5.4	tag:score:Сервис:3.8	tag:votes:11
url:https://www.restoclub.ru/spb/place/skotnyj-dvor	title:Скотный двор	tag:type:Бар	tag:subway:Адмиралтейская	tag:check:700	tag:score:Кухня:5.1	tag:score:Интерьер:5.4	tag:score:Сервис:3.4	tag:votes:7
url:https://www.restoclub.ru/spb/place/stirka-40-gradusov	title:Стирка 40 градусов	tag:type:Бар	tag:subway:Садовая, Сенная Площадь, Спасская	tag:check:250	tag:score:Кухня:3.5	tag:score:Интерьер:5.4	tag:score:Сервис:6.7	tag:votes:5
url:https://www.restoclub.ru/spb/place/spb-4	title:СПБ-4	tag:type:Бар	tag:subway:Купчино	tag:check:550	tag:score:Кухня:4.5	tag:score:Интерьер:4.2	tag:score:Сервис:3.7	tag:votes:8
url:https://www.restoclub.ru/spb/place/ue-bar	title:Уе!бар	tag:type:Бар	tag:subway:Площадь Восстания, Маяковская	tag:check:850	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/bar-o-beer	title:BarO’Beer	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/barselona	title:Барселона	tag:type:Бар	tag:subway:Невский Проспект, Гостиный Двор	tag:check:1000	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/dr-moro	title:Dr.Moro	tag:type:Бар	tag:subway:Площадь Восстания	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/kompromiss	title:Компромисс	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:100	tag:score:Кухня:9.5	tag:score:Интерьер:7.8	tag:score:Сервис:7.4	tag:votes:5
url:https://www.restoclub.ru/spb/place/mint-music-bar	title:Mint Music Bar	tag:type:Бар	tag:subway:Чернышевская	tag:check:1400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/perestrojka-1	title:Перестройка	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:1000	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/pita-burg	title:Pita Burg	tag:type:Кафе	tag:subway:Невский Проспект, Гостиный Двор	tag:check:900	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/rjumochnaja-shvondera	title:Рюмочная Швондера	tag:type:Рюмочная	tag:subway:Выборгская	tag:check:350	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:4
url:https://www.restoclub.ru/spb/place/rjadom	title:Рядом	tag:type:Рюмочная	tag:subway:Сенная Площадь, Адмиралтейская, Садовая, Спасская	tag:check:100	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/golos-karaoke	title:Golos Karaoke	tag:type:Ресторан	tag:subway:Проспект Славы	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/depeche-mode-bar	title:Depeche Mode Bar	tag:type:Бар	tag:subway:Адмиралтейская	tag:check:600	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/inzhir	title:Инжир	tag:type:Кафе	tag:subway:Черная Речка	tag:check:600	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:4
url:https://www.restoclub.ru/spb/place/ionoff-bar	title:Ionoff Bar	tag:type:Бар	tag:subway:Достоевская, Владимирская	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/choker	title:Choker	tag:type:Бар	tag:subway:Гостиный Двор, Невский Проспект	tag:check:1000	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/lestr-bar	title:Lestr Bar	tag:type:Бар	tag:subway:Чкаловская	tag:check:800	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/mishka	title:Mishka	tag:type:Бар	tag:subway:Невский Проспект, Маяковская	tag:check:600	tag:score:Кухня:9.3	tag:score:Интерьер:9.0	tag:score:Сервис:8.0	tag:votes:7
url:https://www.restoclub.ru/spb/place/mya-cafe	title:Mya Cafe	tag:type:Кафе	tag:subway:Нарвская	tag:check:650	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:4
url:https://www.restoclub.ru/spb/place/nacht-wacht	title:Nacht Wacht	tag:type:Бар	tag:subway:Невский Проспект, Гостиный Двор	tag:check:700	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/vdrebezgi	title:Вдребезги	tag:type:Бар	tag:subway:Чернышевская	tag:check:250	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/vinofeel	title:VinoFeel	tag:type:Винотека	tag:subway:Чернышевская	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/vnvnc-concert-hall	title:VNVNC Concert Hall	tag:type:Клуб	tag:subway:Невский Проспект	tag:check:700	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/void	title:Void	tag:type:Бар	tag:subway:Академическая	tag:check:1000	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/woody-bar	title:Woody Bar	tag:type:Кафе	tag:subway:Обводный канал	tag:check:600	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/vse-tvoi-druzja	title:Все твои друзья	tag:type:Бар	tag:subway:Сенная Площадь, Садовая, Спасская	tag:check:500	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
